,Title,Date,Time,Score,Number of Comments
141,Bill would pull NC colleges out of ACC if state is boycotted again,2017-04-13,01:47:18,80,34
142,"Law enforcement officers may be illegally selling guns, ATF says",2017-04-13,15:51:37,6,2
143,A Capitol Hill man from whom federal agents said they seized thousands of dollars of counterfeit DVD box sets of The West Wing pleaded guilty to a federal charge.,2017-04-13,15:51:19,6,0
144,A Rhode Island Mayor ask police to stop kids from playing pickup basketball on public parks.,2017-04-13,14:55:27,8,6
145,Charging Bull creator plans to fight NYC on Fearless Girl statue,2017-04-12,17:07:31,355,515
146,A USAF airman stabbed an American woman soldier at the Aviano air base in northern Italy,2017-04-13,10:16:18,16,3
147,Judge backs lawyers claim that D.A. in San Antonio threatened defense lawyers in her chambers,2017-04-13,04:39:39,42,3
148,DeVos Undoes Obama Student Loan Protections,2017-04-12,00:42:00,26848,4873
149,Alabama Megachurch Moves Closer to Getting Own Police Force,2017-04-13,06:47:44,28,7
150,"After 26 years on the lam, brother of famed Miami Cocaine Cowboy is arrested in Orlando",2017-04-13,14:55:41,6,2
151,Nations First Public Needle Vending Machine for Drug Users Debuts in Las Vegas,2017-04-13,08:23:28,22,10
152,"A Pennsylvania man who assumed the identity of a baby who died in Texas in 1972 was arrested on charges of Social Security fraud and aggravated identity theft after the childs aunt discovered the ruse through Ancestry.com, federal authorities said.",2017-04-12,23:06:58,105,23
153,Alabama ends death penalty by judicial override,2017-04-12,13:24:13,613,100
154,US Customs electronic device searches on international air passengers up 58%,2017-04-13,04:07:55,40,8
155,Teen denied double-lung transplant after smoking marijuana,2017-04-12,16:31:38,333,170
156,Apple has a secret team working on the holy grail for treating diabetes -,2017-04-13,03:14:46,46,24
157,Arkansas rushes to execute 7 inmates before lethal drug expires,2017-04-13,07:06:34,23,6
158,Hospital staff break rules to grant dying mans wish: some wine and a cigarette,2017-04-12,16:15:36,312,27
159,"Navy SEALs accused of profiteering, putting lives in danger",2017-04-12,23:57:01,71,32
160,Sewage pours into Upstate NY home; insurance and county wont help family,2017-04-13,03:50:35,33,12
161,Jurors due to deliberate Nevada case of Bundy ranch standoff,2017-04-13,12:17:04,6,0
162,The Air Force Turned an F-16 Fighter Into a Drone,2017-04-13,06:18:55,22,18
163,Police Officers Shouldnt do Airlines Dirty Work: San Francisco Supervisor,2017-04-12,06:51:07,1578,587
164,Hyundai And Kia Recall 1.5 Million Vehicles Over Engine Seizure Problem,2017-04-12,20:54:25,112,16
165,See dramatic before-and-after photos of water returning to California,2017-04-13,05:43:02,22,4
166,Memphis police body cameras lead to 39-percent drop in complaints,2017-04-12,01:33:09,3851,384
167,North Miami Cop Who Shot Charles Kinsey Charged With Attempted Manslaughter,2017-04-12,23:42:20,61,18
168,Cocaine Cowboy Caught In Orlando After 26 Years On The Run,2017-04-13,06:38:08,15,3
169,Minneapolis Muslims protest sharia vigilante in Cedar-Riverside area,2017-04-13,06:28:14,16,4
170,"Two Illinois men arrested for allegedly supporting ISIS, DOJ says",2017-04-13,02:30:09,34,10
171,Iowa man charged after 4-year-old boy kills self with gun.,2017-04-13,03:43:39,26,31
172,"Missing Cottage Grove woman found Wednesday, chilled but alive",2017-04-13,07:49:30,12,0
173,"Oklahoma City man pleads guilty to killing 18-day-old infant, repeatedly raping 13-year-old girl",2017-04-13,00:14:49,41,25
174,Mullin says he  not constituents  pays his own salary through taxes,2017-04-12,14:46:47,232,65
175,Vatican names pro-gay Fr. James Martin as communications consultant,2017-04-12,21:46:20,64,20
176,Montreal trailblazer in HIV/AIDS research dies in Florida,2017-04-13,02:26:16,24,5
177,Jury: Anti-gay Brunswick pastor guilty of 8 counts of child molestation,2017-04-12,00:31:15,3161,312
178,A small-town Iowa newspaper with a staff of 10 people - most of whom are related to each other  has won a Pulitzer Prize for taking on powerful agricultural companies over farm pollution.,2017-04-11,18:45:57,65794,1381
179,An elementary school in Florida is accused of punishing young special needs students by putting them in a so-called discipline box made partially of drywall.,2017-04-12,21:59:24,54,35
180,"Airbnb signs dozens more tax agreements in the U.S., France",2017-04-13,12:02:45,5,0
181,Maryland lawmakers approve bill to fight drug price-gouging,2017-04-12,18:52:06,95,3
182,Fire burns under railroad bridge in Atlanta,2017-04-13,15:35:39,2,1
183,Mobile phone motion sensors can be used to crack your PIN,2017-04-13,02:19:58,22,10
184,AP Exclusive: UN child sex ring left victims but no arrests,2017-04-12,17:09:17,113,9
185,Judge sacked for trolling people on online,2017-04-12,18:50:26,81,16
186,AP Exclusive: UN child sex ring left victims but no arrests,2017-04-13,01:50:23,22,2
187,Dogs Amazing Escape from Shelter Caught on Tape,2017-04-12,21:54:07,45,8
188,BBC antiques expert died after postpartum psychotic episode,2017-04-13,02:33:56,17,18
189,Professional wrestler Kane making bid for mayor in Tennessee,2017-04-12,17:22:30,95,39
190,Investigation finds inmates built computers and hid them in ceiling at Marion Prison,2017-04-12,14:24:40,166,39
191,Illinois woman admits plotting massacre at Halifax Shopping Centre,2017-04-13,07:11:59,6,2
192,No charges for California police who fatally shot Guatemalan.,2017-04-13,03:35:10,14,6
193,Man wrongfully convicted in 1957 cold case murder declared innocent,2017-04-13,01:13:03,21,5
194,Worst wildfire season in years prompts a state of emergency in Florida,2017-04-13,06:36:03,7,1
195,Newlyweds both contract brain-invading parasite during honeymoon,2017-04-12,17:58:37,68,20
196,Police remove evidence from Waikiki unit where human remains found,2017-04-13,04:05:22,13,0
197,Notice to the media: Government of Canada to make an important announcement,2017-04-12,23:22:05,25,14
198,"Texas teacher had sex with 17-year-old softball player about 10 times, police say",2017-04-12,22:39:45,28,61
199,Missing skier found dead near Snoqualmie Pass,2017-04-13,07:49:04,6,3
200,Pharmaceutical giant plotted to destroy cancer drugs to drive prices up 4000%,2017-04-14,16:49:11,13969,1520
201,British Woman Stabbed to Death in Israel,2017-04-14,15:50:45,429,206
202,Muslim woman stabbed and beaten after attacker tries to tear off her hijab,2017-04-14,07:09:47,1041,484
203,US drops largest non-nuclear bomb in Afghanistan in area populated by Isis members,2017-04-13,20:43:28,52689,13447
204,"Lawyer says passenger dragged from United flight suffered significant concussion, broken nose and lost two front teeth",2017-04-13,19:23:03,13068,2204
205,"Georgia officer fired after kicking man in head during traffic stop, police say",2017-04-14,01:11:49,1272,124
206,NYPD reportedly defies sanctuary city status after alerting ICE on illegal immigrants court dates,2017-04-13,16:17:40,13296,6566
207,Musk says Tesla set to unveil semi truck in September,2017-04-13,22:00:02,1663,411
208,"Judge praises former LDS bishop, while sentencing him for rape, as victim listens",2017-04-14,17:52:03,41,12
209,Trump signs law targeting funding for abortion providers/Planned Parenthood,2017-04-13,22:20:24,1363,880
210,College Student Says All My Bones Were Shattering in My Face as She Was Body-Slammed by Cop,2017-04-14,05:57:19,313,321
211,"Drunk harassed N.J. mom on flight, but United kept booze flowing, report says",2017-04-13,16:50:22,3745,306
212,Black Lives Matter release video of police dragging man from his car and kicking him in the face,2017-04-13,15:58:02,3631,1299
213,Vaccination rate jumps in California after tougher inoculation law,2017-04-13,23:32:20,762,139
214,Manhunt suspect Joseph Jakubowski caught and arrested,2017-04-14,17:12:15,25,2
215,Experimental rocket explosion injures 4 at University of Idaho,2017-04-14,11:42:52,59,5
216,Air China to suspend Beijing-Pyongyang flights: Chinese state TV,2017-04-14,17:45:40,19,16
217,Court: Woman raped in state hospital cant sue for damages,2017-04-13,19:06:58,1117,195
218,"Law enforcement officers may be illegally selling guns, ATF says",2017-04-13,15:51:37,1790,263
219,U.S. may launch strike if North Korea reaches for nuclear trigger,2017-04-14,03:54:11,188,170
220,A Delaware judge on Thursday convicted a 17-year-old girl charged with homicide after a school bathroom fight that left a 16-year-old girl dead.,2017-04-13,18:04:27,1084,255
