,Trend,Date,Common Words,Common Pairs,Positive Score,Negative Score
159,smfh,04/17/2017,"[(u'finn', 35), (u'balor', 33), (u'raw', 10), (u'returns', 6), (u'wwe', 5), (u'match', 4), (u'like', 4), (u'get', 3), (u'last', 3), (u'action', 3)]","[((u'finn', u'balor'), 33), ((u'wwe', u'raw'), 4), ((u'balor', u'returns'), 4), ((u'balor', u'last'), 3), ((u'returns', u'ring'), 3), ((u'raw', u'update'), 2), ((u'curt', u'hawkins'), 2), ((u'monday', u'night'), 2), ((u'action', u'returns'), 2), ((u'bray', u'wyatt'), 2)]",0.33,0.5
160,thing,04/17/2017,"[(u'freddie', 73), (u'freeman', 72), (u'4', 13), (u'year', 9), (u'win', 9), (u'dansby', 8), (u'homers', 7), (u'2', 7), (u'braves', 7), (u'far', 6)]","[((u'freddie', u'freeman'), 70), ((u'4', u'4'), 4), ((u'home', u'runs'), 4), ((u'dansby', u'swanson'), 3), ((u'freeman', u'good'), 3), ((u'sunflower', u'seeds'), 3), ((u'fly', u'ball'), 3), ((u'win', u'mvp'), 3), ((u'two', u'homers'), 3), ((u'homers', u'fly'), 3)]",0.43,0.28
161,sign,04/17/2017,"[(u'pollos', 76), (u'hermanos', 75), (u'los', 75), (u'gus', 8), (u'sign', 8), (u'would', 6), (u'better', 5), (u'see', 5), (u'got', 5), (u'heaven', 4)]","[((u'los', u'pollos'), 74), ((u'pollos', u'hermanos'), 74), ((u'hermanos', u'sign'), 7), ((u'better', u'call'), 4), ((u'seeing', u'los'), 4), ((u'call', u'saul'), 4), ((u'hermanos', u'got'), 3), ((u'wish', u'los'), 3), ((u'breaking', u'bad'), 3), ((u'saw', u'los'), 2)]",0.61,0.25
162,believe,04/17/2017,"[(u'braun', 68), (u'ryan', 14), (u'strowman', 8), (u'big', 8), (u'show', 7), (u'like', 7), (u'thames', 7), (u'one', 6), (u'video', 5), (u'get', 5)]","[((u'ryan', u'braun'), 13), ((u'braun', u'strowman'), 8), ((u'big', u'show'), 5), ((u'raw', u'april'), 3), ((u'liked', u'video'), 3), ((u'thames', u'braun'), 3), ((u'april', u'17'), 3), ((u'17', u'2017'), 3), ((u'kurt', u'angle'), 2), ((u'braun', u'thames'), 2)]",0.32,0.43
163,check,04/17/2017,"[(u'lovely', 73), (u'mimi', 72), (u'like', 8), (u'tommie', 8), (u'new', 8), (u'people', 7), (u'dime', 7), (u'black', 6), (u'karlie', 6), (u'mad', 5)]","[((u'lovely', u'mimi'), 71), ((u'karlie', u'redd'), 5), ((u'new', u'cast'), 4), ((u'mimi', u'tommie'), 4), ((u'cast', u'member'), 4), ((u'like', u'lovely'), 4), ((u'jumping', u'karlie'), 4), ((u'member', u'lovely'), 4), ((u'tried', u'jumping'), 4), ((u'watch', u'new'), 4)]",1.25,0.59
164,valiant,04/17/2017,"[(u'hawkins', 78), (u'curt', 76), (u'finn', 19), (u'balor', 19), (u'match', 6), (u'wwe', 6), (u'see', 6), (u'work', 5), (u'raw', 5), (u'cant', 5)]","[((u'curt', u'hawkins'), 75), ((u'finn', u'balor'), 15), ((u'see', u'curt'), 4), ((u'work', u'curt'), 4), ((u'quick', u'work'), 3), ((u'vs', u'curt'), 3), ((u'balor', u'vs'), 3), ((u'hawkins', u'useless'), 2), ((u'short', u'work'), 2), ((u'defeated', u'curt'), 2)]",0.36,1.29
165,doubled,04/17/2017,"[(u'vince', 73), (u'carter', 70), (u'kyle', 27), (u'anderson', 25), (u'dunk', 8), (u'celebration', 8), (u'still', 7), (u'old', 7), (u'get', 6), (u'motorcycle', 5)]","[((u'vince', u'carter'), 70), ((u'kyle', u'anderson'), 24), ((u'anderson', u'vince'), 7), ((u'carter', u'celebration'), 5), ((u'carter', u'still'), 4), ((u'carter', u'motorcycle'), 4), ((u'carter', u'trying'), 3), ((u'carter', u'reacts'), 2), ((u'memphis', u'fight'), 2), ((u'carter', u'aint'), 2)]",0.36,0.35
166,espn,04/17/2017,"[(u'thames', 74), (u'eric', 65), (u'brewers', 22), (u'hr', 19), (u'5', 18), (u'games', 16), (u'last', 13), (u'hits', 12), (u'6th', 11), (u'straight', 9)]","[((u'eric', u'thames'), 62), ((u'5', u'games'), 12), ((u'hr', u'last'), 12), ((u'last', u'5'), 12), ((u'thames', u'hits'), 12), ((u'brewers', u'thames'), 11), ((u'6th', u'hr'), 11), ((u'hits', u'6th'), 11), ((u'5', u'straight'), 6), ((u'korean', u'star'), 4)]",0.57,0.21
167,ambrose,04/17/2017,"[(u'ambrose', 74), (u'dean', 73), (u'miz', 47), (u'raw', 24), (u'tv', 22), (u'set', 18), (u'2017', 17), (u'incites', 17), (u'17', 17), (u'april', 17)]","[((u'dean', u'ambrose'), 71), ((u'miz', u'tv'), 21), ((u'17', u'2017'), 17), ((u'april', u'17'), 17), ((u'tv', u'set'), 17), ((u'incites', u'dean'), 17), ((u'miz', u'incites'), 17), ((u'ambrose', u'miz'), 17), ((u'raw', u'april'), 16), ((u'set', u'raw'), 16)]",0.45,0.29
168,ago,04/17/2017,"[(u'james', 75), (u'mickie', 74), (u'sasha', 21), (u'alexa', 19), (u'vs', 18), (u'nia', 17), (u'banks', 17), (u'bliss', 16), (u'jax', 15), (u'match', 10)]","[((u'mickie', u'james'), 71), ((u'sasha', u'banks'), 17), ((u'alexa', u'bliss'), 15), ((u'nia', u'jax'), 15), ((u'vs', u'mickie'), 7), ((u'james', u'vs'), 6), ((u'banks', u'vs'), 6), ((u'jax', u'mickie'), 6), ((u'vs', u'sasha'), 5), ((u'vs', u'nia'), 4)]",0.72,0.32
169,smh,04/17/2017,"[(u'ti', 75), (u'tiny', 72), (u'really', 12), (u'together', 12), (u'get', 10), (u'show', 8), (u'back', 8), (u'family', 8), (u'divorce', 8), (u'sad', 8)]","[((u'ti', u'tiny'), 72), ((u'back', u'together'), 7), ((u'want', u'ti'), 6), ((u'get', u'back'), 5), ((u'tiny', u'get'), 5), ((u'watching', u'ti'), 5), ((u'ti', u'tinys'), 3), ((u'get', u'divorce'), 3), ((u'dont', u'want'), 3), ((u'tiny', u'show'), 3)]",0.36,1.51
170,perkins,04/17/2017,"[(u'perkins', 74), (u'tj', 73), (u'jack', 20), (u'gallagher', 20), (u'neville', 14), (u'heel', 12), (u'match', 9), (u'gentleman', 6), (u'like', 6), (u'better', 5)]","[((u'tj', u'perkins'), 72), ((u'jack', u'gallagher'), 18), ((u'gentleman', u'jack'), 6), ((u'perkins', u'vs'), 4), ((u'perkins', u'wins'), 4), ((u'austin', u'aries'), 4), ((u'detonation', u'kick'), 3), ((u'defeated', u'jack'), 3), ((u'heel', u'tj'), 3), ((u'vs', u'gentleman'), 3)]",0.63,0.31
171,fuck,04/17/2017,"[(u'nia', 75), (u'jax', 72), (u'alexa', 29), (u'bliss', 28), (u'vs', 20), (u'mickie', 16), (u'sasha', 15), (u'james', 12), (u'banks', 10), (u'match', 9)]","[((u'nia', u'jax'), 71), ((u'alexa', u'bliss'), 25), ((u'mickie', u'james'), 12), ((u'sasha', u'banks'), 10), ((u'vs', u'nia'), 7), ((u'jax', u'mickie'), 5), ((u'4', u'way'), 4), ((u'vs', u'alexa'), 4), ((u'fatal', u'4'), 4), ((u'bliss', u'vs'), 4)]",0.8,0.37
172,love,04/17/2017,"[(u'nate', 73), (u'mcmillan', 71), (u'coach', 13), (u'pacers', 10), (u'teague', 7), (u'vogel', 7), (u'like', 7), (u'coaching', 6), (u'frank', 6), (u'jeff', 6)]","[((u'nate', u'mcmillan'), 68), ((u'jeff', u'teague'), 6), ((u'frank', u'vogel'), 5), ((u'nate', u'mcmillans'), 5), ((u'fire', u'nate'), 4), ((u'coach', u'nate'), 4), ((u'mcmillan', u'coaching'), 4), ((u'larry', u'bird'), 3), ((u'mcmillan', u'wearing'), 3), ((u'xrays', u'right'), 3)]",0.67,0.44
173,charisma,04/17/2017,"[(u'jeff', 84), (u'hardy', 78), (u'cesaro', 20), (u'vs', 15), (u'match', 11), (u'hardys', 7), (u'back', 6), (u'would', 6), (u'years', 5), (u'like', 5)]","[((u'jeff', u'hardy'), 77), ((u'hardy', u'vs'), 8), ((u'vs', u'cesaro'), 7), ((u'jeff', u'hardys'), 6), ((u'vs', u'jeff'), 5), ((u'cesaro', u'vs'), 4), ((u'vintage', u'jeff'), 4), ((u'hardy', u'back'), 4), ((u'hardy', u'cesaro'), 3), ((u'like', u'jeff'), 3)]",1.72,0.24
174,many,04/17/2017,"[(u'rinne', 63), (u'pekka', 32), (u'save', 17), (u'blackhawks', 12), (u'bounce', 9), (u'shutout', 9), (u'makes', 9), (u'series', 8), (u'god', 7), (u'oh', 7)]","[((u'pekka', u'rinne'), 28), ((u'rinne', u'unbelievable'), 6), ((u'god', u'pekka'), 6), ((u'video', u'rinne'), 6), ((u'oh', u'god'), 6), ((u'rinne', u'makes'), 5), ((u'reaches', u'back'), 4), ((u'save', u'strange'), 4), ((u'stick', u'save'), 4), ((u'rinne', u'reaches'), 4)]",0.37,0.47
175,vidal,04/18/2017,"[(u'vidal', 65), (u'red', 27), (u'card', 18), (u'sent', 13), (u'yellow', 11), (u'casemiro', 10), (u'ref', 9), (u'second', 8), (u'like', 7), (u'vidals', 7)]","[((u'red', u'card'), 15), ((u'second', u'yellow'), 7), ((u'vidal', u'red'), 7), ((u'extra', u'time'), 5), ((u'arturo', u'vidal'), 4), ((u'card', u'vidal'), 4), ((u'vidal', u'got'), 3), ((u'yellow', u'vidal'), 3), ((u'perfect', u'tackle'), 2), ((u'vidals', u'challenge'), 2)]",0.55,0.52
176,game,04/18/2017,"[(u'time', 23), (u'extra', 20), (u'madrid', 14), (u'bayern', 12), (u'real', 11), (u'munich', 9), (u'going', 8), (u'12', 8), (u'vidal', 7), (u'card', 7)]","[((u'extra', u'time'), 20), ((u'real', u'madrid'), 11), ((u'madrid', u'12'), 7), ((u'red', u'card'), 6), ((u'bayern', u'munich'), 5), ((u'thats', u'whistleits'), 4), ((u'watch', u'free'), 4), ((u'live', u'stream'), 4), ((u'munich', u'thats'), 4), ((u'stream', u'hd'), 4)]",0.56,0.4
177,via,04/18/2017,"[(u'starling', 69), (u'marte', 68), (u'pirates', 37), (u'suspended', 34), (u'80', 30), (u'games', 27), (u'positive', 15), (u'test', 14), (u'peds', 13), (u'80game', 11)]","[((u'starling', u'marte'), 67), ((u'marte', u'suspended'), 33), ((u'suspended', u'80'), 29), ((u'80', u'games'), 27), ((u'pirates', u'starling'), 20), ((u'games', u'peds'), 13), ((u'80game', u'ban'), 11), ((u'outfielder', u'starling'), 9), ((u'tested', u'positive'), 8), ((u'positive', u'nandrolone'), 8)]",0.4,0.27
178,folks,04/18/2017,"[(u'tax', 29), (u'us', 18), (u'returns', 16), (u'really', 15), (u'great', 15), (u'work', 15), (u'make', 15), (u'start', 14), (u'releasing', 14), (u'proving', 14)]","[((u'tax', u'returns'), 15), ((u'want', u'make'), 14), ((u'proving', u'work'), 14), ((u'work', u'us'), 14), ((u'america', u'great'), 14), ((u'us', u'releasing'), 14), ((u'great', u'start'), 14), ((u'make', u'america'), 14), ((u'releasing', u'tax'), 14), ((u'start', u'proving'), 14)]",0.67,0.28
179,cheadle,04/18/2017,"[(u'cheadle', 71), (u'kendrick', 37), (u'dna', 30), (u'video', 27), (u'lamar', 16), (u'music', 10), (u'stars', 7), (u'got', 6), (u'via', 6), (u'good', 5)]","[((u'kendrick', u'lamar'), 16), ((u'music', u'video'), 10), ((u'dna', u'video'), 7), ((u'video', u'dna'), 6), ((u'dna', u'music'), 5), ((u'lamar', u'dna'), 5), ((u'kendrick', u'lamars'), 5), ((u'lamars', u'dna'), 4), ((u'cheadle', u'damn'), 4), ((u'damn', u'good'), 4)]",0.41,0.21
180,snapchat,04/18/2017,"[(u'facebook', 16), (u'latest', 15), (u'react', 10), (u'platform', 9), (u'thanks', 8), (u'daily', 8), (u'via', 6), (u'launches', 6), (u'reality', 5), (u'vr', 5)]","[((u'facebook', u'launches'), 6), ((u'daily', u'thanks'), 6), ((u'react', u'fiber'), 4), ((u'augmented', u'reality'), 4), ((u'react', u'framework'), 3), ((u'fiber', u'rewrite'), 3), ((u'announces', u'react'), 3), ((u'facebook', u'announces'), 3), ((u'launches', u'beta'), 3), ((u'rewrite', u'react'), 3)]",0.28,0.19
181,brazil,04/18/2017,"[(u'casemiro', 70), (u'sent', 15), (u'vidal', 15), (u'yellow', 11), (u'second', 11), (u'red', 11), (u'pitch', 10), (u'still', 10), (u'got', 9), (u'card', 7)]","[((u'still', u'pitch'), 8), ((u'casemiro', u'still'), 7), ((u'second', u'yellow'), 7), ((u'casemiro', u'shouldve'), 6), ((u'shouldve', u'sent'), 4), ((u'tackle', u'casemiro'), 3), ((u'casemiro', u'sent'), 3), ((u'get', u'sent'), 3), ((u'deserved', u'second'), 2), ((u'challenge', u'casemiro'), 2)]",0.51,0.51
182,longer,04/18/2017,"[(u'im', 6), (u'time', 6), (u'anyone', 4), (u'youre', 4), (u'money', 3), (u'day', 3), (u'eating', 3), (u'never', 3), (u'free', 3), (u'alone', 3)]","[((u'u', u'like'), 2), ((u'slice', u'pizza'), 2), ((u'want', u'want'), 2), ((u'last', u'slice'), 2), ((u'100', u'free'), 1), ((u'eating', u'cold'), 1), ((u'good', u'anyway'), 1), ((u'free', u'happy'), 1), ((u'eating', u'mac'), 1), ((u'red', u'lobster'), 1)]",0.41,0.32
183,murder,04/18/2017,"[(u'ramos', 75), (u'sergio', 74), (u'goal', 15), (u'time', 12), (u'header', 11), (u'madrid', 9), (u'score', 9), (u'corner', 8), (u'real', 7), (u'minute', 6)]","[((u'sergio', u'ramos'), 73), ((u'ramos', u'goal'), 10), ((u'real', u'madrid'), 6), ((u'ramos', u'score'), 5), ((u'ramos', u'header'), 5), ((u'ramos', u'time'), 4), ((u'extra', u'time'), 3), ((u'last', u'minute'), 3), ((u'win', u'every'), 2), ((u'score', u'corner'), 2)]",0.29,0.17
184,sister,04/18/2017,"[(u'im', 12), (u'video', 8), (u'queen', 6), (u'cant', 6), (u'ready', 6), (u'nicki', 5), (u'wait', 5), (u'dont', 5), (u'record', 5), (u'need', 5)]","[((u'cant', u'wait'), 4), ((u'dont', u'need'), 4), ((u'vevo', u'record'), 3), ((u'im', u'ready'), 2), ((u'lets', u'make'), 2), ((u'make', u'number'), 2), ((u'yall', u'ready'), 2), ((u'drizzy', u'laughed'), 2), ((u'itunes', u'tidal'), 2), ((u'need', u'video'), 2)]",0.2,0.17
185,spaces,04/18/2017,"[(u'facebook', 63), (u'spaces', 60), (u'vr', 31), (u'virtual', 21), (u'reality', 20), (u'new', 18), (u'app', 12), (u'friends', 12), (u'social', 11), (u'oculus', 9)]","[((u'facebook', u'spaces'), 54), ((u'virtual', u'reality'), 20), ((u'vr', u'app'), 8), ((u'reality', u'social'), 7), ((u'spaces', u'makes'), 6), ((u'social', u'experience'), 6), ((u'makes', u'virtual'), 6), ((u'oculus', u'rift'), 5), ((u'spaces', u'vr'), 5), ((u'app', u'facebook'), 5)]",0.33,0.21
186,season,04/18/2017,"[(u'grayson', 71), (u'allen', 69), (u'duke', 30), (u'senior', 30), (u'season', 24), (u'back', 20), (u'returning', 18), (u'return', 14), (u'year', 13), (u'coming', 12)]","[((u'grayson', u'allen'), 66), ((u'senior', u'season'), 21), ((u'allen', u'returning'), 16), ((u'coming', u'back'), 11), ((u'duke', u'senior'), 11), ((u'allen', u'return'), 10), ((u'allen', u'coming'), 10), ((u'returning', u'duke'), 8), ((u'senior', u'year'), 8), ((u'return', u'senior'), 7)]",0.28,0.12
