,Trend,Date,Common Words,Common Pairs,Positive Score,Negative Score
237,georgia,04/19/2017,"[(u'karen', 61), (u'handel', 60), (u'trump', 16), (u'georgia', 15), (u'ossoff', 11), (u'donald', 10), (u'race', 7), (u'runoff', 7), (u'campaign', 7), (u'welcomes', 7)]","[((u'karen', u'handel'), 59), ((u'welcomes', u'donald'), 7), ((u'handel', u'welcomes'), 7), ((u'donald', u'trump'), 7), ((u'trump', u'campaign'), 7), ((u'jon', u'ossoff'), 6), ((u'blew', u'race'), 5), ((u'race', u'cure'), 5), ((u'woman', u'blew'), 5), ((u'great', u'job'), 5)]",0.59,0.43
238,day,04/19/2017,"[(u'illmatic', 48), (u'23', 20), (u'today', 17), (u'nas', 17), (u'years', 15), (u'album', 14), (u'ago', 10), (u'hip', 9), (u'one', 9), (u'released', 9)]","[((u'23', u'years'), 15), ((u'years', u'ago'), 10), ((u'hip', u'hop'), 9), ((u'ago', u'today'), 8), ((u'turns', u'23'), 4), ((u'nas', u'released'), 4), ((u'1994', u'nas'), 3), ((u'one', u'greatest'), 3), ((u'hop', u'albums'), 3), ((u'classic', u'studio'), 3)]",0.45,0.16
239,say,04/19/2017,"[(u'officials', 70), (u'say', 68), (u'hernandez', 67), (u'aaron', 66), (u'prison', 63), (u'former', 45), (u'nfl', 41), (u'star', 31), (u'hangs', 25), (u'cell', 16)]","[((u'officials', u'say'), 68), ((u'aaron', u'hernandez'), 66), ((u'prison', u'officials'), 47), ((u'former', u'nfl'), 41), ((u'nfl', u'star'), 28), ((u'star', u'aaron'), 27), ((u'hernandez', u'hangs'), 25), ((u'hangs', u'prison'), 25), ((u'cell', u'officials'), 16), ((u'prison', u'cell'), 15)]",0.51,1.29
240,year,04/19/2017,"[(u'classic', 85), (u'snes', 68), (u'nintendo', 34), (u'edition', 26), (u'nes', 16), (u'get', 10), (u'mini', 10), (u'rumor', 9), (u'year', 9), (u'making', 9)]","[((u'snes', u'classic'), 63), ((u'classic', u'edition'), 26), ((u'nes', u'classic'), 15), ((u'nintendo', u'prepping'), 7), ((u'edition', u'holidays'), 7), ((u'prepping', u'snes'), 7), ((u'classic', u'discontinued'), 6), ((u'development', u'nes'), 6), ((u'help', u'production'), 6), ((u'discontinued', u'help'), 6)]",1.61,0.39
241,clown,04/19/2017,"[(u'ossoff', 72), (u'democrat', 71), (u'georgia', 17), (u'runoff', 14), (u'handel', 11), (u'win', 10), (u'election', 9), (u'go', 8), (u'race', 7), (u'trump', 7)]","[((u'democrat', u'ossoff'), 66), ((u'ossoff', u'republican'), 6), ((u'go', u'runoff'), 6), ((u'congressional', u'race'), 6), ((u'special', u'election'), 6), ((u'georgia', u'special'), 6), ((u'republican', u'handel'), 6), ((u'handel', u'go'), 5), ((u'race', u'democrat'), 5), ((u'karen', u'handel'), 5)]",0.45,0.37
242,goldman,04/19/2017,"[(u'morgan', 69), (u'stanley', 60), (u'trading', 30), (u'earnings', 19), (u'bond', 15), (u'surge', 15), (u'quarterly', 14), (u'profit', 14), (u'profits', 14), (u'gains', 13)]","[((u'morgan', u'stanley'), 58), ((u'profits', u'jump'), 13), ((u'stanley', u'earnings'), 12), ((u'jump', u'bond'), 12), ((u'wealth', u'management'), 11), ((u'trading', u'boom'), 11), ((u'surge', u'trading'), 11), ((u'quarterly', u'profit'), 11), ((u'earnings', u'surge'), 11), ((u'boom', u'wealth'), 11)]",0.77,0.04
243,weather,04/19/2017,"[(u'gallatin', 65), (u'home', 27), (u'police', 25), (u'barricaded', 25), (u'woman', 19), (u'inside', 16), (u'respond', 9), (u'person', 8), (u'standoff', 8), (u'town', 6)]","[((u'gallatin', u'home'), 16), ((u'barricaded', u'inside'), 15), ((u'woman', u'barricaded'), 9), ((u'gallatin', u'police'), 9), ((u'inside', u'gallatin'), 9), ((u'police', u'respond'), 9), ((u'person', u'barricaded'), 8), ((u'inside', u'home'), 6), ((u'chambers', u'st'), 5), ((u'report', u'person'), 4)]",0.2,0.2
244,business,04/19/2017,"[(u'haines', 71), (u'city', 69), (u'fire', 53), (u'pallet', 31), (u'battle', 15), (u'company', 15), (u'us', 11), (u'large', 10), (u'17', 10), (u'evacuations', 9)]","[((u'haines', u'city'), 67), ((u'pallet', u'company'), 15), ((u'fire', u'haines'), 14), ((u'city', u'pallet'), 12), ((u'city', u'fire'), 11), ((u'large', u'fire'), 8), ((u'pallet', u'plant'), 8), ((u'evacuation', u'order'), 7), ((u'evacuations', u'haines'), 7), ((u'fire', u'pallet'), 7)]",0.49,0.15
245,mins,04/19/2017,"[(u'sb', 76), (u'i5', 61), (u'lane', 33), (u'accident', 26), (u'columbia', 25), (u'traffic', 20), (u'blocked', 19), (u'back', 18), (u'5', 18), (u'crash', 17)]","[((u'i5', u'sb'), 60), ((u'traffic', u'back'), 17), ((u'left', u'lane'), 16), ((u'lane', u'blocked'), 15), ((u'5', u'sb'), 15), ((u'stop', u'go'), 10), ((u'go', u'traffic'), 10), ((u'crash', u'i5'), 9), ((u'onramp', u'i5'), 9), ((u'ramp', u'columbia'), 9)]",0.45,0.15
246,years,04/19/2017,"[(u'today', 18), (u'remember', 17), (u'changed', 15), (u'forever', 15), (u'april', 12), (u'lives', 12), (u'years', 11), (u'22', 11), (u'1995', 11), (u'city', 10)]","[((u'22', u'years'), 11), ((u'years', u'ago'), 8), ((u'oklahoma', u'city'), 8), ((u'april', u'19'), 7), ((u'changed', u'forever'), 7), ((u'22nd', u'anniversary'), 6), ((u'remembrance', u'ceremony'), 6), ((u'19', u'1995'), 6), ((u'april', u'19th'), 5), ((u'forever', u'changed'), 5)]",0.31,0.31
247,zamora,04/19/2017,"[(u'trending', 5), (u'people', 4), (u'get', 3), (u'day', 3), (u'protests', 3), (u'today', 3), (u'maduro', 2), (u'easy', 2), (u'venezuela', 2), (u'god', 2)]","[((u'united', u'states'), 2), ((u'trending', u'united'), 2), ((u'independence', u'day'), 2), ((u'worldwide', u'get'), 1), ((u'mask', u'look'), 1), ((u'trending', u'topic'), 1), ((u'sex', u'cupe'), 1), ((u'walking', u'proudly'), 1), ((u'people', u'walking'), 1), ((u'queen', u'name'), 1)]",0.36,0.27
248,everest,04/19/2017,"[(u'peace', 40), (u'found', 7), (u'like', 7), (u'dont', 6), (u'never', 5), (u'want', 5), (u'quiet', 5), (u'go', 4), (u'im', 4), (u'heart', 4)]","[((u'found', u'peace'), 3), ((u'find', u'peace'), 3), ((u'short', u'story'), 2), ((u'trying', u'find'), 2), ((u'world', u'peace'), 2), ((u'peace', u'quiet'), 2), ((u'peace', u'know'), 2), ((u'fragile', u'peace'), 2), ((u'largely', u'greasiness'), 1), ((u'skintight', u'jeans'), 1)]",1.12,0.91
249,festival,04/19/2017,"[(u'garlic', 42), (u'happy', 17), (u'day', 9), (u'today', 9), (u'great', 7), (u'dont', 6), (u'national', 5), (u'recipe', 4), (u'enjoy', 4), (u'see', 4)]","[((u'national', u'garlic'), 5), ((u'garlic', u'day'), 5), ((u'happy', u'national'), 4), ((u'taste', u'great'), 3), ((u'see', u'dont'), 3), ((u'sauce', u'see'), 3), ((u'magic', u'sauce'), 3), ((u'roasted', u'garlic'), 3), ((u'dont', u'happy'), 3), ((u'roast', u'garlic'), 2)]",1.0,0.25
250,drunk,04/19/2017,"[(u'bill', 76), (u'fox', 47), (u'oreilly', 47), (u'news', 41), (u'harassment', 10), (u'via', 9), (u'forced', 7), (u'tucker', 6), (u'carlson', 6), (u'sexual', 5)]","[((u'bill', u'oreilly'), 47), ((u'fox', u'news'), 39), ((u'bill', u'forced'), 7), ((u'forced', u'fox'), 7), ((u'oreilly', u'fox'), 7), ((u'tucker', u'carlson'), 6), ((u'sexual', u'harassment'), 5), ((u'bill', u'fox'), 5), ((u'bill', u'thrives'), 4), ((u'harassment', u'settlements'), 4)]",0.29,0.6
251,via,04/19/2017,"[(u'williams', 73), (u'serena', 71), (u'pregnant', 36), (u'20', 7), (u'open', 7), (u'shes', 6), (u'first', 6), (u'baby', 6), (u'child', 5), (u'weeks', 5)]","[((u'serena', u'williams'), 70), ((u'williams', u'pregnant'), 17), ((u'pregnant', u'first'), 6), ((u'first', u'child'), 5), ((u'williams', u'20'), 4), ((u'shes', u'pregnant'), 4), ((u'weeks', u'pregnant'), 4), ((u'20', u'weeks'), 4), ((u'williams', u'appears'), 3), ((u'williams', u'greatest'), 3)]",0.37,0.27
252,traffic,04/19/2017,"[(u'video', 17), (u'nicki', 9), (u'queen', 8), (u'frauds', 8), (u'like', 6), (u'love', 5), (u'rah', 5), (u'im', 5), (u'watch', 4), (u'best', 4)]","[((u'watch', u'frauds'), 3), ((u'rah', u'video'), 3), ((u'frauds', u'video'), 3), ((u'im', u'shook'), 3), ((u'sis', u'im'), 2), ((u'whats', u'good'), 2), ((u'frauds', u'vevo'), 2), ((u'queen', u'video'), 2), ((u'ever', u'seen'), 2), ((u'shook', u'youre'), 1)]",0.33,0.17
253,please,04/19/2017,"[(u'got', 7), (u'unicorn', 7), (u'im', 6), (u'get', 5), (u'starbucks', 5), (u'sugar', 5), (u'anyone', 5), (u'frappuccino', 4), (u'looks', 4), (u'really', 4)]","[((u'anyone', u'tried'), 3), ((u'unicorn', u'frappuccino'), 3), ((u'yes', u'please'), 3), ((u'couldnt', u'resist'), 2), ((u'tastes', u'like'), 2), ((u'got', u'unicorn'), 2), ((u'believe', u'even'), 1), ((u'member', u'snipers'), 1), ((u'video', u'little'), 1), ((u'also', u'theres'), 1)]",0.51,0.24
254,excuses,04/19/2017,"[(u'life', 7), (u'us', 5), (u'stop', 4), (u'better', 4), (u'great', 3), (u'love', 3), (u'today', 3), (u'one', 3), (u'destinations', 3), (u'secret', 3)]","[((u'destinations', u'traveler'), 2), ((u'journeys', u'secret'), 2), ((u'unaware', u'martin'), 2), ((u'martin', u'buber'), 2), ((u'traveler', u'unaware'), 2), ((u'replace', u'bill'), 2), ((u'bill', u'oreilly'), 2), ((u'secret', u'destinations'), 2), ((u'big', u'hole'), 1), ((u'fear', u'set'), 1)]",0.69,0.37
255,life,04/19/2017,"[(u'lust', 82), (u'life', 81), (u'lana', 34), (u'del', 33), (u'rey', 31), (u'weeknd', 21), (u'ft', 16), (u'us', 7), (u'alive', 6), (u'de', 5)]","[((u'lust', u'life'), 81), ((u'lana', u'del'), 33), ((u'del', u'rey'), 31), ((u'rey', u'lust'), 17), ((u'ft', u'weeknd'), 16), ((u'life', u'ft'), 15), ((u'life', u'lust'), 9), ((u'life', u'lana'), 7), ((u'us', u'alive'), 6), ((u'de', u'lana'), 5)]",0.23,0.04
256,still,04/19/2017,"[(u'birth', 27), (u'control', 24), (u'bc', 11), (u'hands', 10), (u'pay', 10), (u'one', 8), (u'dont', 8), (u'get', 8), (u'cant', 7), (u'women', 6)]","[((u'birth', u'control'), 23), ((u'british', u'columbia'), 3), ((u'cant', u'afford'), 3), ((u'health', u'care'), 3), ((u'pregnancy', u'prevention'), 2), ((u'wont', u'get'), 2), ((u'say', u'women'), 2), ((u'republicans', u'r'), 2), ((u'leave', u'british'), 2), ((u'daughter', u'sister'), 2)]",0.51,0.51
257,leaves,04/19/2017,"[(u'chaffetz', 67), (u'jason', 65), (u'reelection', 26), (u'via', 16), (u'2018', 15), (u'run', 14), (u'seek', 14), (u'bill', 13), (u'oreilly', 9), (u'congress', 8)]","[((u'jason', u'chaffetz'), 61), ((u'seek', u'reelection'), 14), ((u'chaffetz', u'seek'), 10), ((u'bill', u'oreilly'), 9), ((u'reelection', u'2018'), 7), ((u'rep', u'jason'), 7), ((u'chair', u'jason'), 5), ((u'run', u'reelection'), 5), ((u'house', u'oversight'), 5), ((u'wont', u'run'), 5)]",0.25,0.29
258,briefing,04/19/2017,"[(u'gronk', 63), (u'house', 14), (u'white', 14), (u'press', 13), (u'briefing', 10), (u'crashes', 8), (u'spicer', 6), (u'sean', 5), (u'hernandez', 5), (u'help', 4)]","[((u'white', u'house'), 14), ((u'gronk', u'crashes'), 8), ((u'house', u'press'), 8), ((u'crashes', u'white'), 5), ((u'press', u'briefing'), 5), ((u'aaron', u'hernandez'), 4), ((u'crashed', u'white'), 4), ((u'sean', u'spicer'), 3), ((u'house', u'briefing'), 3), ((u'need', u'help'), 3)]",0.65,0.29
259,brady,04/19/2017,"[(u'brady', 68), (u'tom', 65), (u'white', 38), (u'house', 32), (u'patriots', 19), (u'donald', 17), (u'skip', 15), (u'first', 15), (u'trumps', 14), (u'team', 13)]","[((u'tom', u'brady'), 59), ((u'white', u'house'), 32), ((u'first', u'hosting'), 12), ((u'trumps', u'first'), 12), ((u'announces', u'skip'), 12), ((u'brady', u'announces'), 12), ((u'skip', u'donald'), 12), ((u'team', u'white'), 12), ((u'hosting', u'sports'), 12), ((u'donald', u'trumps'), 12)]",0.87,0.21
260,murdered,04/19/2017,"[(u'hernandez', 69), (u'aaron', 57), (u'suicide', 10), (u'prison', 9), (u'star', 7), (u'murder', 6), (u'former', 6), (u'family', 5), (u'patriots', 5), (u'odin', 5)]","[((u'aaron', u'hernandez'), 53), ((u'star', u'aaron'), 5), ((u'aaron', u'hernandezs'), 4), ((u'hernandez', u'suicide'), 4), ((u'odin', u'lloyds'), 4), ((u'found', u'dead'), 4), ((u'convicted', u'murder'), 3), ((u'forward', u'aaron'), 3), ((u'hernandez', u'found'), 3), ((u'hernandez', u'lawsuit'), 3)]",0.37,0.89
261,blessing,04/19/2017,"[(u'like', 13), (u'im', 12), (u'would', 11), (u'youre', 7), (u'cause', 6), (u'may', 6), (u'look', 5), (u'really', 5), (u'man', 5), (u'time', 5)]","[((u'would', u'like'), 3), ((u'power', u'power'), 2), ((u'man', u'man'), 2), ((u'id', u'like'), 2), ((u'im', u'really'), 2), ((u'said', u'beautiful'), 2), ((u'like', u'go'), 2), ((u'im', u'sure'), 2), ((u'beautiful', u'body'), 2), ((u'also', u'like'), 2)]",0.65,0.16
262,call,04/19/2017,"[(u'dexter', 75), (u'fowler', 72), (u'game', 10), (u'2', 9), (u'today', 9), (u'day', 7), (u'home', 7), (u'cole', 5), (u'good', 5), (u'cardinals', 5)]","[((u'dexter', u'fowler'), 70), ((u'home', u'run'), 4), ((u'dexter', u'fowlers'), 4), ((u'fowler', u'hits'), 4), ((u'st', u'louis'), 4), ((u'multihr', u'game'), 3), ((u'home', u'runs'), 2), ((u'fowler', u'hit'), 2), ((u'second', u'home'), 2), ((u'hr', u'game'), 2)]",0.41,0.24
263,sign,04/19/2017,"[(u'marvel', 61), (u'captain', 55), (u'directors', 41), (u'finds', 23), (u'anna', 13), (u'ryan', 12), (u'mississippi', 12), (u'boden', 12), (u'fleck', 12), (u'grind', 12)]","[((u'captain', u'marvel'), 52), ((u'finds', u'directors'), 21), ((u'marvel', u'finds'), 17), ((u'anna', u'boden'), 12), ((u'ryan', u'fleck'), 12), ((u'mississippi', u'grind'), 12), ((u'boden', u'ryan'), 11), ((u'hollywood', u'reporter'), 6), ((u'grind', u'helmers'), 6), ((u'marvel', u'news'), 6)]",0.96,0.28
264,see,04/19/2017,"[(u'kraft', 75), (u'bob', 74), (u'trump', 25), (u'patriots', 20), (u'president', 11), (u'super', 8), (u'owner', 8), (u'white', 8), (u'bowl', 8), (u'belichick', 7)]","[((u'bob', u'kraft'), 71), ((u'owner', u'bob'), 8), ((u'super', u'bowl'), 8), ((u'white', u'house'), 6), ((u'president', u'trump'), 5), ((u'donald', u'trump'), 5), ((u'kraft', u'coach'), 4), ((u'kraft', u'says'), 4), ((u'bowl', u'ring'), 4), ((u'belichick', u'bob'), 3)]",0.87,0.29
265,roberts,04/19/2017,"[(u'roberts', 75), (u'julia', 74), (u'beautiful', 55), (u'woman', 43), (u'world', 31), (u'crowned', 29), (u'worlds', 11), (u'2017', 9), (u'named', 8), (u'white', 6)]","[((u'julia', u'roberts'), 74), ((u'beautiful', u'woman'), 43), ((u'roberts', u'crowned'), 29), ((u'crowned', u'world'), 28), ((u'world', u'beautiful'), 28), ((u'worlds', u'beautiful'), 10), ((u'roberts', u'beautiful'), 8), ((u'roberts', u'worlds'), 7), ((u'beautiful', u'2017'), 6), ((u'roberts', u'named'), 5)]",0.97,0.11
266,let,04/19/2017,"[(u'working', 60), (u'facebook', 60), (u'says', 58), (u'let', 58), (u'type', 14), (u'facebooks', 14), (u'skin', 13), (u'hear', 13), (u'moonshots', 13), (u'brains', 13)]","[((u'says', u'working'), 58), ((u'working', u'let'), 58), ((u'facebook', u'says'), 58), ((u'brains', u'type'), 13), ((u'skin', u'hear'), 13), ((u'making', u'brains'), 13), ((u'type', u'skin'), 13), ((u'moonshots', u'making'), 13), ((u'facebooks', u'moonshots'), 13), ((u'hear', u'cnet'), 11)]",0.21,0.0
267,today,04/19/2017,"[(u'nfl', 87), (u'simms', 76), (u'phil', 69), (u'today', 60), (u'cbs', 57), (u'studio', 51), (u'tony', 35), (u'romo', 35), (u'replaced', 32), (u'heading', 26)]","[((u'phil', u'simms'), 69), ((u'nfl', u'today'), 59), ((u'cbs', u'studio'), 46), ((u'tony', u'romo'), 35), ((u'replaced', u'tony'), 32), ((u'recently', u'replaced'), 26), ((u'studio', u'part'), 26), ((u'simms', u'heading'), 26), ((u'nfl', u'phil'), 26), ((u'heading', u'cbs'), 26)]",0.08,0.28
268,ever,04/19/2017,"[(u'andre', 72), (u'johnson', 69), (u'retirement', 27), (u'speech', 26), (u'breaks', 25), (u'crying', 24), (u'nfl', 23), (u'texan', 13), (u'retire', 11), (u'hall', 9)]","[((u'andre', u'johnson'), 69), ((u'retirement', u'speech'), 26), ((u'johnson', u'breaks'), 24), ((u'breaks', u'crying'), 23), ((u'nfl', u'retirement'), 22), ((u'crying', u'nfl'), 22), ((u'retire', u'texan'), 9), ((u'johnson', u'retire'), 9), ((u'hall', u'famer'), 9), ((u'texan', u'hall'), 9)]",0.31,0.11
269,distractions,04/19/2017,"[(u'hard', 72), (u'knocks', 72), (u'bucs', 58), (u'embracing', 54), (u'concerned', 53), (u'distractions', 53), (u'hbos', 8), (u'buccaneers', 8), (u'season', 5), (u'tampa', 5)]","[((u'hard', u'knocks'), 72), ((u'embracing', u'hard'), 54), ((u'knocks', u'concerned'), 53), ((u'bucs', u'embracing'), 53), ((u'concerned', u'distractions'), 53), ((u'hbos', u'hard'), 8), ((u'bay', u'buccaneers'), 5), ((u'tampa', u'bay'), 5), ((u'crazy', u'nfl'), 2), ((u'buccaneers', u'selected'), 2)]",0.11,1.01
270,whiteness,04/19/2017,"[(u'dolezal', 50), (u'rachel', 49), (u'read', 23), (u'story', 11), (u'last', 10), (u'white', 10), (u'need', 10), (u'ever', 9), (u'black', 7), (u'ijeoma', 6)]","[((u'rachel', u'dolezal'), 44), ((u'read', u'rachel'), 9), ((u'last', u'story'), 9), ((u'need', u'read'), 9), ((u'story', u'ever'), 8), ((u'ever', u'need'), 8), ((u'ijeoma', u'oluo'), 5), ((u'white', u'woman'), 4), ((u'rachel', u'dolezals'), 3), ((u'anything', u'else'), 3)]",0.77,0.56
271,better,04/19/2017,"[(u'juicero', 54), (u'juice', 17), (u'story', 9), (u'machine', 8), (u'squeeze', 7), (u'one', 7), (u'get', 6), (u'would', 4), (u'theranos', 4), (u'hilarious', 4)]","[((u'juicero', u'story'), 6), ((u'squeeze', u'juice'), 3), ((u'squeeze', u'juicero'), 3), ((u'juice', u'packs'), 2), ((u'machine', u'completely'), 2), ((u'vcbacked', u'juice'), 2), ((u'finds', u'squeeze'), 2), ((u'owners', u'squeeze'), 2), ((u'juicero', u'machines'), 2), ((u'buy', u'one'), 2)]",0.55,0.39
272,via,04/19/2017,"[(u'jon', 75), (u'stewart', 71), (u'carlson', 17), (u'tucker', 16), (u'oreilly', 15), (u'bill', 14), (u'fired', 8), (u'show', 7), (u'somewhere', 7), (u'crossfire', 7)]","[((u'jon', u'stewart'), 71), ((u'tucker', u'carlson'), 14), ((u'bill', u'oreilly'), 10), ((u'remember', u'jon'), 4), ((u'carlson', u'stop'), 3), ((u'jon', u'stewarts'), 3), ((u'stop', u'hurting'), 3), ((u'fox', u'news'), 3), ((u'somewhere', u'jon'), 3), ((u'wonder', u'jon'), 3)]",0.41,0.31
273,need,04/19/2017,"[(u'vamos', 71), (u'barca', 65), (u'lets', 10), (u'bar\xe7a', 10), (u'win', 7), (u'match', 6), (u'come', 6), (u'another', 6), (u'today', 6), (u'believe', 6)]","[((u'vamos', u'barca'), 52), ((u'vamos', u'bar\xe7a'), 9), ((u'barca', u'barca'), 6), ((u'barca', u'vamos'), 4), ((u'barca', u'lets'), 4), ((u'another', u'miracle'), 3), ((u'make', u'history'), 3), ((u'another', u'comeback'), 3), ((u'going', u'win'), 2), ((u'barca', u'need'), 2)]",0.48,0.28
274,falcao,04/19/2017,"[(u'falcao', 49), (u'goals', 11), (u'monaco', 10), (u'united', 8), (u'see', 7), (u'back', 7), (u'50', 6), (u'falcaos', 6), (u'record', 6), (u'chelsea', 6)]","[((u'45', u'goals'), 5), ((u'goals', u'50'), 4), ((u'see', u'falcao'), 4), ((u'falcao', u'back'), 3), ((u'work', u'united'), 3), ((u'didnt', u'work'), 3), ((u'even', u'falcao'), 3), ((u'50', u'games'), 3), ((u'uefa', u'competitions'), 3), ((u'boy', u'falcao'), 2)]",0.71,0.29
